PMID,Title,Journal,Host Species,Host Species Status,Body Site,Body Site Status,Condition,Condition Status,Sequencing Type,Sequencing Type Status,Taxa Level,Taxa Level Status,Sample Size,Sample Size Status,Summary,Processing Time
10202341,The intestinal microflora in allergic Estonian and Swedish 2-year-old children.,,Children,PRESENT,faeces,PRESENT,Allergic disease,PRESENT,Serial dilution and anaerobic culture were used to grow and quantify the bacteria in fecal samples. No sequencing or other molecular techniques are mentioned.,ABSENT,Genus and species,PRESENT,62,PRESENT,,0
15987522,"The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects.",,Humans,PRESENT,Saliva,PRESENT,Oral squamous cell carcinoma (OSCC),PRESENT,checkerboard DNA-DNA hybridization,PRESENT,species,PRESENT,274,PRESENT,,0
17631127,The fecal microbiota of irritable bowel syndrome patients differs significantly from that of healthy subjects.,,Humans,PRESENT,fecal samples,PRESENT,Irritable bowel syndrome (IBS),PRESENT,high-throughput 16S ribosomal RNA gene cloning and sequencing,PRESENT,genus,PRESENT,47,PRESENT,,0
19533811,Lower Bifidobacteria counts in both duodenal mucosa-associated and fecal microbiota in irritable bowel syndrome patients.,,Humans,PRESENT,Fecal and duodenal mucosa,PRESENT,Irritable Bowel Syndrome (IBS),PRESENT,fluorescent in situ hybridization (FISH) and real-time polymerase chain reaction,PRESENT,genus and species,PRESENT,41 IBS patients and 26 healthy subjects,PRESENT,,0
19849869,Quantitative differences in intestinal Faecalibacterium prausnitzii in obese Indian children.,,Children,PRESENT,faeces,PRESENT,Obesity,PRESENT,real-time PCR using primers targeted at 16S rDNA,PRESENT,Genus and Species,PRESENT,28,PRESENT,,0
19903265,Altered profiles of intestinal microbiota and organic acids may be the origin of symptoms in irritable bowel syndrome.,,Humans,PRESENT,Fecal samples,PRESENT,Irritable Bowel Syndrome (IBS),PRESENT,quantitative real-time polymerase chain reaction,PRESENT,genus,PRESENT,52,PRESENT,,0
20140211,Gut microbiota in human adults with type 2 diabetes differs from non-diabetic adults.,,humans,PRESENT,fecal,PRESENT,Type 2 diabetes,PRESENT,real-time quantitative PCR (qPCR) and tag-encoded amplicon pyrosequencing of the V4 region of the 16S rRNA gene,PRESENT,"The taxonomic levels analyzed were phylum, class, and ""Bacteroides-Prevotella group"" to ""C. coccoides-E. rectale group"".",PRESENT,36,PRESENT,,0
20566857,Delivery mode shapes the acquisition and structure of the initial microbiota across multiple body habitats in newborns.,,Humans,PRESENT,"Mothers' skin, oral mucosa, and vagina; neonates' skin, oral mucosa, nasopharyngeal aspirate, and meconium.",PRESENT,"The study investigates the influence of delivery mode (vaginal vs. Cesarean section) on the establishment of the neonate's first microbiota in different body habitats (skin, oral mucosa, nasopharynx, and gut). While the study doesn't focus on a specific disease, treatment, or condition, it aims to understand how the initial microbiome composition, influenced by delivery mode, might impact infant health later on.",PARTIALLY_PRESENT,multiplexed 16S rRNA gene pyrosequencing,PRESENT,Genus,PRESENT,Ten mothers and ten newborn babies were included in the study. Four babies were born vaginally and six were born via Cesarean section.,PRESENT,,0
20603222,Pyrosequencing study of fecal microflora of autistic and control children.,,Young children,PRESENT,fecal,PRESENT,Autism with gastrointestinal symptoms,PRESENT,bacterial tag encoded FLX amplicon pyrosequencing (bTEFAP) procedure,PRESENT,phylum and species,PRESENT,"The study included 33 subjects with autism, 7 sibling controls, and 8 non-sibling control subjects, for a total of 48 participants.",PRESENT,,0
20613793,Toward defining the autoimmune microbiome for type 1 diabetes.,,Humans,PRESENT,intestinal microbes,PRESENT,Type 1 Diabetes (T1D),PRESENT,"High-throughput, culture-independent approaches",PRESENT,phylum and species,PRESENT,,ABSENT,,0
20679230,Impact of diet in shaping gut microbiota revealed by a comparative study in children from Europe and rural Africa.,,Human,PRESENT,fecal,PRESENT,"The study investigates the association between gut microbiota composition and different diets in children from Europe and Burkina Faso, hypothesizing that the gut microbiota coevolved with the polysaccharide-rich diet of BF individuals, potentially protecting them from inflammations and noninfectious colonic diseases.",PARTIALLY_PRESENT,high-throughput 16S rDNA sequencing,PRESENT,Genus,PRESENT,The number of samples or participants is not mentioned in this excerpt.,ABSENT,,0
20844065,"Effect of mother's weight on infant's microbiota acquisition, composition, and activity during early infancy: a prospective follow-up study initiated in early pregnancy.",,Humans,PRESENT,Infant stool samples,PRESENT,"The relationship between maternal weight (including overweight and weight gain during pregnancy) and the gut microbiota composition of their infants, which may predispose infants to obesity.",PRESENT,fluorescence in situ hybridization combined with flow cytometry and quantitative real-time polymerase chain reaction,PRESENT,"The analysis included at least the genus level, specifically Bacteroides, Staphylococcus, Clostridium, and Bifidobacterium. It also mentions species-level analysis for Akkermansia muciniphila and Clostridium difficile.",PRESENT,42 mothers and their infants were included in the study. (16 overweight mothers and 26 normal-weight mothers). Infant stool samples were collected at 1 and 6 months.,PRESENT,,0
21188149,Disordered microbial communities in the upper respiratory tract of cigarette smokers.,,humans,PRESENT,right and left nasopharynx and oropharynx,PRESENT,The effects of cigarette smoking on the microbial composition in the upper respiratory tract (nasopharynx and oropharynx),PRESENT,454 pyrosequencing of 16S sequence tags,PRESENT,genus,PRESENT,62,PRESENT,,0
21737778,Molecular analysis of the luminal- and mucosal-associated intestinal microbiota in diarrhea-predominant irritable bowel syndrome.,,Humans,PRESENT,Fecal and colonic mucosal samples,PRESENT,Diarrhea-predominant Irritable Bowel Syndrome (D-IBS),PRESENT,Terminal-restriction fragment (T-RF) length polymorphism (T-RFLP) fingerprinting of the bacterial 16S rRNA gene,PRESENT,"The 16S rRNA gene was analyzed, which is used to identify bacteria at the genus level and sometimes at the species level, but the analysis in this study was conducted using T-RFLP, which provides information about the community composition and biodiversity but not specific taxonomic identification to phylum, genus, or species for each T-RF.",PARTIALLY_PRESENT,37,PRESENT,,0
21741921,Gastrointestinal microbiome signatures of pediatric patients with irritable bowel syndrome.,,Children,PRESENT,stool,PRESENT,irritable bowel syndrome (IBS),PRESENT,"16S ribosomal RNA gene sequencing, 454 pyrosequencing, microarray (16S rRNA PhyloChip)",PRESENT,"The analysis was performed at multiple taxonomic levels including class (γ-proteobacteria), genus (Alistipes), and species (Haemophilus parainfluenzae). The microarray used can detect 8741 bacterial taxa.",PRESENT,71 samples from 22 children with IBS and 22 healthy children,PRESENT,,0
21820992,Global and deep molecular analysis of microbiota signatures in fecal samples from patients with irritable bowel syndrome.,,Humans,PRESENT,fecal samples,PRESENT,Irritable bowel syndrome (IBS),PRESENT,Phylogenetic microarray in combination with quantitative polymerase chain reaction,PRESENT,"Phylum, genus, and species",PRESENT,108,PRESENT,,0
21829158,Obesity-associated gut microbiota is enriched in Lactobacillus reuteri and depleted in Bifidobacterium animalis and Methanobrevibacter smithii.,,Humans,PRESENT,stools,PRESENT,Obesity,PRESENT,quantitative PCR (qPCR) and culture on a Lactobacillus-selective medium,PRESENT,species,PRESENT,115,PRESENT,,0
21850056,Structural segregation of gut microbiota between colorectal cancer patients and healthy volunteers.,,human,PRESENT,fecal,PRESENT,human colorectal cancer (CRC),PRESENT,454 pyrosequencing of the V3 region of the 16S ribosomal RNA gene,PRESENT,genus,PRESENT,"A total of 102 participants were included in the study, with 46 CRC patients and 56 healthy volunteers.",PRESENT,,0
21885731,Linking long-term dietary patterns with gut microbial enterotypes.,,Humans,PRESENT,Fecal,PRESENT,The study investigates the relationship between diet and gut microbiome composition.,PARTIALLY_PRESENT,16S rDNA sequencing,PRESENT,Genus,PRESENT,98 individuals + 10 subjects,PRESENT,,0
21957459,Dynamic gut microbiome across life history of the malaria mosquito Anopheles gambiae in Kenya.,,Anopheles gambiae,PRESENT,gut,PRESENT,The study focuses on the gut microbiome of Anopheles gambiae mosquitoes.,PRESENT,pyrosequencing bacterial 16S rRNA fragments,PRESENT,"The text mentions phyla (Cyanobacteria, Proteobacteria, Bacteroidetes) and family (Enterobacteriaceae, Flavobacteriaceae).",PARTIALLY_PRESENT,The number of samples or participants is not explicitly stated in the context.,ABSENT,,0
22009990,Genomic analysis identifies association of Fusobacterium with colorectal carcinoma.,,"The host species is not explicitly mentioned, but given the context of colorectal carcinoma, it can be inferred that the host species is humans.",PARTIALLY_PRESENT,colorectal carcinoma,PRESENT,Colorectal carcinoma,PRESENT,"whole genome sequencing, quantitative PCR, 16S rDNA sequence analysis, and FISH",PRESENT,phylum,PRESENT,95 carcinoma/normal DNA pairs,PRESENT,,0
22153774,Low diversity of the gut microbiota in infants with atopic eczema.,,Infants,PRESENT,stool,PRESENT,Atopic eczema,PRESENT,barcoded 16S rDNA 454-pyrosequencing,PRESENT,genus,PRESENT,40,PRESENT,,0
